Model,Dataset,Precision,Recall,mAP@0.50,mAP@0.50;0.05;0.95,Pre-process time,Inference time,NMS time per image
yolov5n.pt,train,0.24630861899918033,0.32592592592592595,0.13400100926253036,0.07504301388601067,0.7803893089294434,19.525983333587646,4.610085487365723
yolov5n.pt,val,0.358901369318036,0.4827586206896552,0.30530781591948875,0.1841054117675322,1.1880284263974143,24.408215568179173,7.225842702956427
yolov5n.pt,test,0.2498992089328224,0.41379310344827586,0.17933471035555948,0.09495829587431265,1.4989809556440874,26.849594983187586,6.614489988847213
yolov5s.pt,train,0.29577085210888027,0.3111111111111111,0.1669479240878536,0.10050464704914101,0.6462883949279785,27.668147087097168,3.4349822998046875
yolov5s.pt,val,0.35959194930666394,0.4482758620689655,0.318152478908001,0.2457708870113872,0.8098057338169643,24.24956503368559,4.446699505760556
yolov5s.pt,test,0.25771278524901636,0.4071657864761297,0.19749177347472796,0.11605458206047763,0.5598176609386097,24.56158941442316,3.631667657331987
yolov5m.pt,train,0.2727008841139276,0.32496199903607315,0.16776526249806298,0.10484495124505097,0.5603480339050293,48.6415433883667,2.7207541465759277
yolov5m.pt,val,0.36947145558256644,0.4482758620689655,0.2975141307834124,0.24592170218453385,0.5011558532714844,48.38942346118745,3.3608050573439825
yolov5m.pt,test,0.2599430596747418,0.4482758620689655,0.19760437749707646,0.13003686812572163,0.6387992338700729,48.82205616344105,3.3625472675670274
yolov5l.pt,train,0.24857168835706195,0.4074074074074074,0.16707018450974154,0.10987154594960644,0.6410121917724609,92.90382385253906,2.8427767753601074
yolov5l.pt,val,0.3507681856030203,0.44715980348164225,0.28311511671629186,0.23777818846306217,0.38119724818638395,93.18951198032924,3.5219646635509676
yolov5l.pt,test,0.24987282364331542,0.5172413793103449,0.20798048305067782,0.1488406407373279,0.49962780692360614,92.93482520363548,2.8660730882124468
