Model|Dataset|Precision|Recall|mAP@0.50|mAP@0.50;0.05;0.95|Pre-process time|Inference time|NMS time per image|FPS
yolov5n|train|0,1694926390271245|0,3180851063829787|0,0964669079584331|0,0373958703757015|0,8397072589071413|18,31161408872298|3,707733931070843|54,610150429930684
yolov5n|val|0,1861055304159046|0,3241366366366366|0,1052921308198597|0,040344322566571|0,9315073490142822|19,066813919279312|3,8539912965562606|52,44714739618112
yolov5n|test|0,1847546897992213|0,2961730449251248|0,104369193479093|0,0429723396137143|0,6460932153083612|13,609522927831083|3,418677401344532|73,47796137328434
yolov5s|train|0,2051105170427726|0,3148936170212766|0,1189958529187697|0,0483803676946413|0,6155908178631105|27,40685778197153|3,2049486951793984|36,487218197549396
yolov5s|val|0,1908019662816628|0,3614035087719298|0,1186012046864795|0,0476060049824186|0,5811625056796603|30,61805367469788|3,324435154596965|32,66046923245089
yolov5s|test|0,1784435883762516|0,3643926788685524|0,1208324648022464|0,0524121176287425|0,6204259032357763|28,20892149061377|3,2660294107452987|35,449777841834184
yolov5m|train|0,1917309734458681|0,3439716312056737|0,1249081747161947|0,0533599381283668|0,5875295747899839|49,17599712625837|2,807622148647603|20,335124012483575
yolov5m|val|0,1769315811038512|0,4403508771929824|0,1259047606089087|0,0522324445089544|0,596891509162055|49,05913207266066|2,625337574217055|20,383564848210455
yolov5m|test|0,2057194948434788|0,346089850249584|0,1286143861487582|0,0542141862387223|0,6068261376378279|49,184966945912365|2,7399598066166164|20,331415513599474
yolov5l|train|0,1826719888623895|0,3776595744680851|0,1213623647019336|0,0510800945973123|0,6201448678686843|94,17221166290936|2,6973273326043707|10,618843736828788
yolov5l|val|0,174363822108116|0,4385964912280701|0,126757902172947|0,0527259717117305|0,6058957841661241|94,53286197450429|2,5926709175109863|10,578332011884948
yolov5l|test|0,1846959396146835|0,4026622296173044|0,1341517679919683|0,0585749805123917|0,583733217868118|95,14024911494796|2,6209539323632405|10,51079862941924
yolov5x|train|0,1826025458853999|0,3865248226950354|0,1205217218062012|0,0503820459053423|0,8173443899710312|1347,946650633205|3,2868555411430656|0,7418691233293578
yolov5x|val|0,1678272282883522|0,4508771929824561|0,1237499908707081|0,0530871801011728|0,765652126736111|1322,271917925941|3,3115069071451826|0,7562740964570716
yolov5x|test|0,1932304781349794|0,3973260808280426|0,1300513792223082|0,0578167279613189|0,836699953369817|1377,2304190162808|3,526740457212496|0,7260949120730817
