Model,Dataset,Precision,Recall,mAP@0.50,mAP@0.50;0.05;0.95,Pre-process time,Inference time,NMS time per image
yolov5n.pt,train,0.16949263902712453,0.3180851063829787,0.0964669079584331,0.037395870375701516,0.8397072589071413,18.31161408872298,3.707733931070843
yolov5n.pt,val,0.18610553041590464,0.32413663663663667,0.10529213081985972,0.040344322566571056,0.9315073490142822,19.066813919279312,3.8539912965562606
yolov5n.pt,test,0.1847546897992213,0.2961730449251248,0.10436919347909308,0.04297233961371438,0.6460932153083612,13.609522927831085,3.418677401344532
yolov5s.pt,train,0.2051105170427726,0.3148936170212766,0.11899585291876974,0.048380367694641394,0.6155908178631105,27.406857781971535,3.2049486951793984
yolov5s.pt,val,0.19080196628166285,0.36140350877192984,0.1186012046864795,0.04760600498241867,0.5811625056796603,30.618053674697876,3.324435154596965
yolov5s.pt,test,0.17844358837625166,0.3643926788685524,0.1208324648022464,0.052412117628742504,0.6204259032357763,28.208921490613772,3.2660294107452987
yolov5m.pt,train,0.19173097344586812,0.34397163120567376,0.12490817471619474,0.053359938128366854,0.5875295747899839,49.17599712625837,2.807622148647603
yolov5m.pt,val,0.17693158110385124,0.44035087719298244,0.1259047606089087,0.052232444508954465,0.596891509162055,49.05913207266066,2.625337574217055
yolov5m.pt,test,0.20571949484347885,0.34608985024958405,0.12861438614875828,0.05421418623872239,0.6068261376378279,49.184966945912365,2.7399598066166164
yolov5l.pt,train,0.18267198886238956,0.3776595744680851,0.12136236470193365,0.05108009459731232,0.6201448678686843,94.17221166290936,2.6973273326043707
yolov5l.pt,val,0.17436382210811605,0.43859649122807015,0.12675790217294705,0.05272597171173058,0.6058957841661241,94.53286197450427,2.5926709175109863
yolov5l.pt,test,0.18469593961468353,0.40266222961730447,0.13415176799196837,0.058574980512391725,0.583733217868118,95.14024911494796,2.6209539323632405
